Current Round,3,,,,,,,,,,,,,,,,,,,,
Current Round Progress,Not Started,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Day,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,2,2
Round,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,1,1
Overall Round,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,7,7
Player ID,Player Name,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement
1,100T Dishsoap,A,3,,A,1,,,,,,,,,,,,,,,
16,AEG Gobosteur,B,4,,B,8,,,,,,,,,,,,,,,
25,Bopster,D,3,,D,8,,,,,,,,,,,,,,,
9,Cambulee,B,6,,B,1,,,,,,,,,,,,,,,
32,CTG Robinsongz,E,2,,E,6,,,,,,,,,,,,,,,
10,Dehua,B,2,,B,5,,,,,,,,,,,,,,,
5,FLCN LiShao,A,1,,A,3,,,,,,,,,,,,,,,
39,FNC Bensac,E,6,,E,8,,,,,,,,,,,,,,,
27,FW AQ1H,D,1,,D,3,,,,,,,,,,,,,,,
31,G5 Klicornen,D,7,,D,7,,,,,,,,,,,,,,,
33,GD Royal,E,3,,E,4,,,,,,,,,,,,,,,
15,HanXing,B,8,,B,7,,,,,,,,,,,,,,,
8,IZI Lyyyress,A,2,,A,6,,,,,,,,,,,,,,,
11,Kurumx,B,5,,B,6,,,,,,,,,,,,,,,
24,M8 L3SCoco,C,5,,C,3,,,,,,,,,,,,,,,
38,MOUZ Sologesang,E,4,,E,3,,,,,,,,,,,,,,,
3,Nguyenvux,A,8,,A,8,,,,,,,,,,,,,,,
7,RCS Xperion,A,4,,A,4,,,,,,,,,,,,,,,
40,ROC DrOH,D,6,,D,2,,,,,,,,,,,,,,,
21,SanWeizi,C,2,,C,6,,,,,,,,,,,,,,,
12,SB Grenade,B,1,,B,2,,,,,,,,,,,,,,,
36,ShenDu,E,7,,E,2,,,,,,,,,,,,,,,
22,SLY Voltariux,C,7,,C,5,,,,,,,,,,,,,,,
2,Steppy,A,7,,A,2,,,,,,,,,,,,,,,
13,Taro,B,7,,B,3,,,,,,,,,,,,,,,
19,Texsummers,C,4,,C,2,,,,,,,,,,,,,,,
14,TLN YBY1,B,3,,B,4,,,,,,,,,,,,,,,
34,Tristan (LIL STEPPY),E,5,,E,7,,,,,,,,,,,,,,,
6,TWIS Xunge,A,6,,A,7,,,,,,,,,,,,,,,
18,VA PA CASA,C,6,,C,8,,,,,,,,,,,,,,,
17,VIT Setsuko,C,8,,C,1,,,,,,,,,,,,,,,
23,Vomendeth,C,1,,C,4,,,,,,,,,,,,,,,
26,Wasianiverson,D,2,,D,4,,,,,,,,,,,,,,,
37,WOL YGQF,E,1,,E,5,,,,,,,,,,,,,,,
29,XiaoJu,D,5,,D,1,,,,,,,,,,,,,,,
30,XiaoQi,D,4,,D,6,,,,,,,,,,,,,,,
28,XiaoYuqin,D,8,,D,5,,,,,,,,,,,,,,,
4,ZETA Summertimer,A,5,,A,5,,,,,,,,,,,,,,,
20,ZETA Yatsuhashi,C,3,,C,7,,,,,,,,,,,,,,,
35,ZhenBai,E,8,,E,1,,,,,,,,,,,,,,,
